"","time","open","high","low","close","volume","amount","trades","volumsOFbuy","amountOFbuy","changeDir","fluct_pct"
"496",2019-05-12,7076.24,7521.78,6750,6967.31,86948.975339,619939454.489655,647345,42689.589676,304720922.908325,"down",11.43
"497",2019-05-13,6968.24,8100,6870,7790.71,85804.735333,648012612.292701,588497,45381.262259,342327287.016619,"up",17.9
"498",2019-05-14,7795.62,8366,7599.56,7947.56,76583.722603,611103206.003273,655426,38953.032335,310810946.937252,"up",10.09
"499",2019-05-15,7945.26,8249,7850,8169.87,37884.327211,305196285.275582,347533,19660.576186,158426245.700979,"up",5.08
"500",2019-05-16,8169.08,8320,7705,7866.59,69630.513996,557126171.278964,666538,35097.404158,280897013.068166,"down",7.98
"501",2019-05-17,7868.67,7925,6913,7355.26,88752.008159,645676487.374403,803893,45121.474978,328348049.16309,"down",14.64
"502",2019-05-18,7355.28,7458,7156.61,7257.45,37054.944779,271170511.050933,379504,19375.84836,141830045.169398,"down",4.21
"503",2019-05-19,7257.32,8275.09,7243.08,8148.48,65577.442058,517729474.358441,583432,35593.490022,281177713.218451,"up",14.25
"504",2019-05-20,8147.94,8156.03,7553,7938.15,65859.208564,517939277.868858,610360,34629.645645,272371020.306778,"down",7.98
"505",2019-05-21,7937.16,8042.32,7771,7904.87,52301.752247,413637782.369746,554038,27272.360448,215730616.604215,"down",3.49
"506",2019-05-22,7904.48,8016,7465,7628.43,49136.994589,384730220.721952,461337,24410.962662,191296198.554635,"down",7.38
"507",2019-05-23,7627.8,7940.98,7461,7851.51,49648.184701,381536239.512848,449220,25959.859838,199607980.98608,"up",6.43
"508",2019-05-24,7849.95,8130,7766,7964.87,46664.785325,371381043.731603,428676,25045.733428,199347829.025874,"up",4.69
"509",2019-05-25,7964.52,8091.8,7908.34,8025.41,28414.328817,227376280.585408,264448,15037.164996,120334124.302436,"up",2.32
"510",2019-05-26,8023,8740,7833.42,8614.43,49652.144567,409616322.388479,377306,26438.946803,217911336.304082,"up",11.57
"511",2019-05-27,8612.54,8908.32,8589,8756.32,51886.768793,452651204.934902,478773,27722.369637,241864670.65174,"up",3.72
"512",2019-05-28,8752.52,8798.49,8510.63,8715.64,31470.551534,273791910.631476,349123,16561.876811,144108437.061158,"down",3.38
"513",2019-05-29,8716.87,8750,8406.6,8645.68,33880.865922,292094591.018039,352317,17575.580317,151595491.235984,"down",4.08
"514",2019-05-30,8646.5,9074.26,8005,8269.54,70379.998521,603312537.380843,617341,34577.310598,296613619.219047,"down",13.36
"515",2019-05-31,8267.1,8594,8108.5,8555,44727.49162,373629673.919014,416525,23391.68846,195418655.053399,"up",5.99
"516",2019-06-01,8555,8626,8442.36,8544.07,31868.234157,272098436.340696,348375,16922.662425,144486129.118262,"down",2.18
